Company/Brand,Sector,Stage,Amount,What_it_does,Founded,Stage_of_funding
Wide Mobility Mechatronics,Industrial Automation,Seed funding,584698.0,Wide Mobility Mechatronics is a Private Company limited by Shares,2018.0,Validation
Pitstop,"Automotive, Search Engine, Service Industry",Seed funding,1461746.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018.0,Validation
Mihuru,"Finance, Internet, Travel",Seed funding,150000.0,Mihuru is an online platform which gives micro loans for air travel .,2018.0,Validation
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed funding,1100000.0,Fyle is an intelligent expense management platform for enterprises.,2018.0,Validation
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed funding,584698.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018.0,Validation
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed funding,7308.0,Waste Management for Smart Cities,2018.0,Validation
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018.0,Early Traction
PaisaDukan,Financial Services,Seed funding,650000.0,A P2P lending marketplace platform,2018.0,Validation
Sleepy Owl Coffee,Food and Beverage,Seed funding,511611.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018.0,Validation
BlueJack,Autonomous Vehicles,Seed funding,935517.0,Delhi-based online used vehicles marketplace.,2018.0,Validation
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed funding,584698.0,PregBuddy is a smart connected care platform for expecting mothers.,2018.0,Validation
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,3700000.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018.0,Early Traction
Pando,"Logistics, Supply Chain Management",Seed funding,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,2018.0,Validation
Mintifi,"Financial Services, Lending",Seed funding,2000000.0,Online lending startup based in Mumbai.,2018.0,Validation
Carcrew,"Automotive, Marketplace, Online Portals",Seed funding,2000000.0,India's Online Auto Repair Marketplace,2018.0,Validation
NicheAI,Artificial Intelligence,Seed funding,584698.0,Early stage Artificial Intelligence (AI) start up.,2018.0,Validation
Chariot Tech,"Internet of Things, Telecommunications",Seed funding,292349.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018.0,Validation
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed funding,1000000.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018.0,Validation
Loanzen,Financial Services,Seed funding,584698.0,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018.0,Validation
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed funding,650000.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018.0,Validation
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed funding,1000000.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018.0,Validation
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,LoadShare is India’s fastest growing logistics company,2018.0,Early Traction
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Food startup Yumlane operated by QwikPik Technology,2018.0,Early Traction
Kriger Campus,Education,Seed funding,438524.0,A Education Start Up.,2018.0,Validation
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018.0,Early Traction
Kaleidofin,Financial Services,Seed funding,2800000.0,A fintech platform.,2018.0,Validation
Chakr Innovation,Renewable Energy,Seed funding,584698.0,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018.0,Validation
IndigoLearn,"E-Learning, Education",Seed funding,150000.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018.0,Validation
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed funding,584698.0,UClean is a tech enabled laundry service provider.,2018.0,Validation
Coutloot,"E-Commerce, Fashion, Mobile",Seed funding,1000000.0,The Fashion Re-commerce platform.,2018.0,Validation
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed funding,1700000.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018.0,Validation
Pooltoo,Transportation,Seed funding,584698.0,Pooltoo offers a premium ride sharing platform.,2018.0,Validation
Finzy,"Financial Services, Lending",Seed funding,1300000.0,finzy is the premier peer to peer lending solution in India.,2018.0,Validation
Fitternity,"Fitness, Health Care, Wellness",Seed funding,2000000.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018.0,Validation
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed funding,584698.0,Building an Intelligent Digital Assistant.,2018.0,Validation
Tolet for Students,Hospitality,Seed funding,73087.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018.0,Validation
Chai Kings,"Food and Beverage, Tea",Seed funding,292349.0,Chai Kings is a tea retail chain,2018.0,Validation
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed funding,584698.0,Dainik Jagran is a media and communications group.,2018.0,Validation
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed funding,292349.0,Playtoome is a live entertainment destination,2018.0,Validation
ONGO Framework,"B2B, Information Services, Information Technology",Seed funding,1000000.0,ONGO Framework is a B2B IT and digital solution provider.,2018.0,Validation
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed funding,182718.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018.0,Validation
Arogya MedTech,"Health Care, Medical",Seed funding,219262.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018.0,Validation
Propshop24,E-Commerce,Seed funding,500000.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018.0,Validation
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,To bring health issues to people in their language.,2018.0,Early Traction
MissMalini Entertainment,—,Seed funding,1520216.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018.0,Validation
Rooter,Sports,Seed funding,657786.0,Rooter is a mobile-based platform,2018.0,Validation
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Zest is India's first completely automated consumer digital lending platform.,2018.0,Early Traction
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed funding,584698.0,Advancing AI compute,2018.0,Validation
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed funding,500000.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018.0,Validation
Sattviko,"Food Processing, Retail",Seed funding,584698.0,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018.0,Validation
Sensibull,Trading Platform,Seed funding,365436.0,Investment Management Platform,2018.0,Validation
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,3700000.0,Bombay Shaving Company is a Men's grooming startup,2018.0,Early Traction
MedCords,Wellness,Seed funding,385901.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018.0,Validation
University Living,Education,Seed funding,584698.0,University Living is an online global student housing marketplace.,2018.0,Validation
&ME,"Food and Beverage, Food Processing, Nutrition",Seed funding,584698.0,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018.0,Validation
Enakshi,Fashion,Seed funding,116939.0,Enakshi is an online apparel brand for women.,2018.0,Validation
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,877.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018.0,Early Traction
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018.0,Early Traction
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,BUGWORKS is a drug discovery company.,2018.0,Early Traction
Guardian.in,Health Care,Seed funding,584698.0,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018.0,Validation
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed funding,100000.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018.0,Validation
Wimoxez,Internet,Seed funding,20000.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018.0,Validation
India Accelerator,"Communities, Coworking, Incubators",Seed funding,584698.0,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018.0,Validation
HappyEMI,"Consumer, Financial Services, FinTech",Seed funding,1000000.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018.0,Validation
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed funding,584698.0,Premium Personal Assistance service,2018.0,Validation
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018.0,Early Traction
Propelld,"Education, Financial Services, FinTech",Seed funding,250000.0,Propelld is a student education financing platform.,2018.0,Validation
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,3700000.0,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018.0,Early Traction
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed funding,120000.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018.0,Validation
Carmesi,Health Care,Seed funding,496993.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018.0,Validation
OckyPocky,"E-Learning, Internet, Video Games",Seed funding,584698.0,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018.0,Validation
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed funding,4999174.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018.0,Validation
WHR,"Health Care, Information Technology",Seed funding,143145.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018.0,Validation
Asteria Aerospace,Aerospace,Seed funding,584698.0,Asteria Aerospace is a robotics and artificial intelligence company.,2018.0,Validation
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,8770480.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018.0,Scaling
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed funding,100000.0,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018.0,Ideation
SBI Life,Insurance,Private Equity,742000000.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018.0,Other
Studds Accessories,E-Commerce,Private Equity,14617468.0,Studds Accessories is a scooter accessories service provider in India,2018.0,Other
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,29234936.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018.0,Scaling
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018.0,Scaling
Rays Power Infra,"Energy, Solar",Series A,29234936.0,Rays Power Infra is a leading integrated Solar Power Company.,2018.0,Early Traction
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Seed funding,10000.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018.0,Validation
Khidki,"Artificial Intelligence, Social",Seed funding,584698.0,Vernacular Social Network Focused on Town Level Content and Interactions,2018.0,Validation
LetsTransport,"Logistics, Transportation, Travel",Series B,14617468.0,Lets transport is a logistics solution provider.,2018.0,Scaling
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Seed funding,1461.0,Next Digital Solutions is website design & Digital Marketing development company.,2018.0,Validation
Portea Medical,"Health Care, Hospital, Medical",Series A,3654367.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018.0,Early Traction
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,29234936.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018.0,Exit Option
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018.0,Scaling
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018.0,Early Traction
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Seed funding,584698.0,Nutrisattva is a protein innovation compan,2018.0,Validation
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Toppr.com is an online preparation platform for entrance exams in India.,2018.0,Scaling
Jagaran Microfin,—,Series A,8039607.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018.0,Early Traction
Vivriti Capital,Financial Services,Series A,28500000.0,Vivriti Capital is an online platform for institutional debt in India.,2018.0,Early Traction
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed funding,438524.0,Be U is India's first subscription based Salon Chain.,2018.0,Validation
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018.0,Early Traction
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,3508192.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018.0,Scaling
Stones2Milestones,"E-Learning, Education, Higher Education",Seed funding,584698.0,Stones2milestones is a Gurgaon Based Learning Company.,2018.0,Validation
Generico,"Health Care, Medical, Pharmaceutical",Series A,3700000.0,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018.0,Early Traction
Adiuvo Diagnostics,Health Diagnostics,Seed funding,584698.0,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018.0,Validation
DataTrained,"EdTech, Education",Seed funding,1754096.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018.0,Validation
OneAssist,"Financial Services, SaaS, Security",Series A,2400000.0,OneAssist is a protection & assistance services platform.,2018.0,Early Traction
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018.0,Exit Option
APAC Financial Services,"Finance, Financial Services",Private Equity,36543670.0,APAC Financial Services is a financial services platform.,2018.0,Other
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018.0,Scaling
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Series A,3700000.0,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018.0,Early Traction
MadGuy Labs,E-Learning,Series A,150000.0,MadGuy Labs is a Online Test-prep Platform.,2018.0,Early Traction
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed funding,584698.0,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018.0,Validation
FLEECA,—,Seed funding,584698.0,FLEECA is a Tyre Care Provider company.,2018.0,Validation
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018.0,Scaling
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed funding,643168.0,On Demand Staffing Platform,2018.0,Validation
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018.0,Scaling
Ambee,"Health Care, Medical Device, Public Safety",Seed funding,584698.0,Ambee is an Environment analytics startup.,2018.0,Validation
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed funding,877048.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018.0,Validation
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,36543670.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018.0,Scaling
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed funding,584698.0,Olly is a digital credit card for India's working masses and young people.,2018.0,Validation
Zestl,Software,Seed funding,584698.0,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018.0,Validation
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018.0,Other
Wakefit,"Manufacturing, Retail",Series A,9501354.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018.0,Early Traction
Hero Electric,Manufacturing,Series A,23387949.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018.0,Early Traction
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed funding,584698.0,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018.0,Validation
PerkFinance,"Consumer Lending, FinTech",Seed funding,900000.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018.0,Validation
Roposo,"Internet, Social Network, TV",Series C,10000000.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018.0,Scaling
Plum Goodness,"Beauty, Health Care",Series A,3700000.0,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018.0,Early Traction
Drstore,Hospital,Seed funding,584698.0,Drstore is a exclusive e- commerce platform.,2018.0,Validation
Wow Venue,Events,Series A,1500000.0,Wow Venue is an online platform.,2018.0,Early Traction
Chizel,"3D Printing, Manufacturing, Product Design",Seed funding,584698.0,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018.0,Validation
OTO Capital,Automotive,Seed funding,730873.0,OTO Capital is a platform that allows you to own a car faster than ever.,2018.0,Validation
Boodmo,"Automotive, Retail",Seed funding,1023222.0,boodmo.com - large online marketplace for auto parts in India.,2018.0,Validation
Khabri,"Apps, Audio",Seed funding,584698.0,Khabri is a digital audio platform for content in vernacular.,2018.0,Validation
MyNewCar.in,"Automotive, E-Commerce",Series A,1000000.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018.0,Early Traction
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,A daily fantasy sports platform.,2018.0,Early Traction
PlanetSpark,"E-Learning, EdTech, Education",Seed funding,233879.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018.0,Validation
WheelsEMI,—,Series B,14000000.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018.0,Scaling
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Seed funding,1498290.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018.0,Validation
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018.0,Scaling
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Series A,8039607.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018.0,Early Traction
Tabono,Sports,Seed funding,584698.0,Tabono is a one stop environment for all your fitness solution.,2018.0,Validation
LearnApp,"Banking, E-Learning, Trading Platform",Seed funding,292349.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018.0,Validation
Shopkirana,"E-Commerce, Mobile, Retail",Series A,2000000.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018.0,Early Traction
Fric Bergen,—,Series A,3700000.0,Fric Bergen is a leader in the specialty food industry.,2018.0,Early Traction
Articbot,"Artificial Intelligence, Information Technology",Seed funding,17540.0,Articbot is a conversational AI platform for automated customer support and lead generation,2018.0,Validation
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3654367.0,India’s most advanced ERP system for the real estate,2018.0,Early Traction
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,76010834.0,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018.0,Scaling
Any time Doctor,Software,Seed funding,584698.0,Anytime Doctor is a Software company.,2018.0,Validation
Go Payments,"Information Services, Information Technology",Corporate Round,3800541.0,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018.0,Other
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed funding,800000.0,We build In-Destination Experiences!,2018.0,Validation
ION Energy,"Energy, Energy Storage, Infrastructure",Series A,1041000.0,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018.0,Early Traction
UnoTag,Artificial Intelligence,Pre-Seed funding,100000.0,SaaS to verify counterfeit,2018.0,Ideation
CivilCops,"Government, Information Technology, Software",Pre-Seed funding,100000.0,Gov-Tech,2018.0,Ideation
Rockmetric,Information Technology,Seed funding,584698.0,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018.0,Validation
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,1461.0,"Saas, Web App, Mobile App, School Education",2018.0,Other
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed funding,584698.0,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018.0,Validation
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed funding,15000.0,Ai platform for Art and Creative Community,2018.0,Ideation
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed funding,500000.0,Stethoscope for customer feedback !,2018.0,Validation
Credy,"Credit, Financial Services, FinTech, Lending",Seed funding,1400000.0,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018.0,Validation
iChamp,E-Learning,Seed funding,5000000.0,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018.0,Validation
Qandle,Software,Seed funding,1200000.0,A cloud-based HR management and employee engagement platform.,2018.0,Validation
Avishkaar Box,"Children, Education, Parenting",Seed funding,730873.0,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018.0,Validation
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Seed funding,584698.0,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018.0,Validation
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018.0,Early Traction
Deftouch,—,Seed funding,584698.0,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018.0,Validation
Doodhwala,"Food Delivery, Organic, Organic Food",Seed funding,2200000.0,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018.0,Validation
DronaHQ,Mobile,Seed funding,500000.0,DronaHQ is an enterprise mobile engagement platform.,2018.0,Validation
FastFox,Rental,Series A,1461746.0,FastFox: Market Network for Home Rentals (India),2018.0,Early Traction
BuyForexOnline,Travel,Seed funding,2000000.0,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018.0,Validation
Colive.in,Consumer,Seed funding,1800000.0,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018.0,Validation
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed funding,500000.0,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018.0,Validation
Corefactors,—,Seed funding,584698.0,"Corefactors is a leading campaign management, business communication and analytics company.",2018.0,Validation
Fincash.com,Wealth Management,Seed funding,150000.0,A startup in the personal finance space in India .,2018.0,Validation
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru based biotech startup.,2018.0,Early Traction
Shirsa Labs,"Education, Gaming, Training",Seed funding,500000.0,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018.0,Validation
PetSutra,Veterinary,Seed funding,138865.0,Gurugram-based Online petcare platform.,2018.0,Validation
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Seed funding,584698.0,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018.0,Validation
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed funding,300000.0,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018.0,Validation
Eduvanz,"Finance, Financial Services",Seed funding,500000.0,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018.0,Validation
Rupeek,"Financial Services, Lending",Series A,6830000.0,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018.0,Early Traction
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018.0,Early Traction
Shape (School Health and Physical Education),Education,Seed funding,200000.0,Physical education start up,2018.0,Validation
Placio,"Hospitality, Real Estate",Seed funding,2000000.0,Placio is a student housing and a complete broker-free platform.,2018.0,Validation
